Date : 2026-03-03 00:53:29
Directory : z:\8_code\ai-job-hunting
Total : 62 files,  17266 codes, 133 comments, 1609 blanks, all 19008 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| z:\8_code\ai-job-hunting\src\shared\utils\tools.ts                                                  | TypeScript         |        817 |         13 |         90 |        920 |
| z:\8_code\ai-job-hunting\src\state\login.ts                                                         | TypeScript         |         20 |          1 |          5 |         26 |
| z:\8_code\ai-job-hunting\src\state\push-result.ts                                                   | TypeScript         |         43 |          1 |          8 |         52 |
| z:\8_code\ai-job-hunting\src\state\user.ts                                                          | TypeScript         |         42 |          1 |          7 |         50 |
| z:\8_code\ai-job-hunting\tsconfig.json                                                              | JSON with Comments |         22 |          0 |          1 |         23 |
| z:\8_code\ai-job-hunting\tsconfig.node.json                                                         | JSON               |         10 |          0 |          1 |         11 |
| z:\8_code\ai-job-hunting\vite.config.ts                                                             | TypeScript         |         87 |          0 |         11 |         98 |
| z:\8_code\ai-job-hunting\vitest.config.ts                                                           | TypeScript         |         13 |          0 |          2 |         15 |
| Total                                                                                               |                    |     17,266 |        133 |      1,609 |     19,008 |
+-----------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
